,isin,nse_symbol,nse_series,bse_sc_code,SC_NAME,bse_sc_group,bse_sc_type,yf_nse_symbol
0,INE144J01027,20MICRONS,EQ,533022,20 MICRONS,B,Q,20MICRONS.NS
1,INE253B01015,21STCENMGM,EQ,526921,21ST CEN.MGM,B,Q,NOT_FOUND_ERROR
2,INE748C01020,3IINFOTECH,EQ,532628,3I INFOTECH,B,Q,NOT_FOUND_ERROR
3,INE470A01017,3MINDIA,EQ,523395,3M INDIA LTD,A,Q,NOT_FOUND_ERROR
4,INE105C01023,3PLAND,EQ,516092,3PLAND,B,Q,NOT_FOUND_ERROR
5,INE618L01018,5PAISA,EQ,540776,5PAISA,B,Q,5PAISA.NS
6,IN0020190099,617GS2021,GS,,,,,NOT_FOUND_ERROR
7,IN0020200245,622GS2035,GS,,,,,NOT_FOUND_ERROR
8,INE111B01023,63MOONS,EQ,526881,63MOONS,B,Q,NOT_FOUND_ERROR
9,IN0020200187,68GS2060,GS,,,,,NOT_FOUND_ERROR
10,IN0020200054,716GS2050,GS,,,,,NOT_FOUND_ERROR
11,IN0020190024,762GS2039,GS,,,,,NOT_FOUND_ERROR
12,INE619I01012,A2ZINFRA,EQ,533292,A2ZINFRA,B,Q,NOT_FOUND_ERROR
13,INE087Z01016,AAKASH,BE,,,,,NOT_FOUND_ERROR
14,INE721Z01010,AARON,EQ,,,,,NOT_FOUND_ERROR
15,INE767A01016,AARTIDRUGS,EQ,524348,AARTI DRUGS,A,Q,AARTIDRUGS.NS
16,INE769A01020,AARTIIND,EQ,524208,AARTI INDUST,A,Q,NOT_FOUND_ERROR
17,INE09EO01013,AARTISURF,EQ,543210,AARTISURF,B,Q,NOT_FOUND_ERROR
18,INE273D01019,AARVEEDEN,EQ,514274,AARVEE DENIM,B,Q,AARVEEDEN.NS
19,INE754X01016,AARVI,EQ,,,,,NOT_FOUND_ERROR
20,INE216P01012,AAVAS,EQ,541988,AAVAS,A,Q,AAVAS.NS
21,INE421A01028,ABAN,EQ,523204,ABAN OFFSHO,B,Q,NOT_FOUND_ERROR
22,INE117A01022,ABB,EQ,500002,ABB LTD.,A,Q,NOT_FOUND_ERROR
23,INE358A01014,ABBOTINDIA,EQ,500488,ABBOTT (I),A,Q,NOT_FOUND_ERROR
24,INE674K01013,ABCAPITAL,EQ,540691,ABCAPITAL,A,Q,NOT_FOUND_ERROR
25,INE647O01011,ABFRL,EQ,535755,ABFRL,A,Q,NOT_FOUND_ERROR
26,IN9647O01027,ABFRLPP1,E1,890148,ABFRLPP,A,Q,NOT_FOUND_ERROR
27,INE251C01017,ABMINTLTD,EQ,,,,,NOT_FOUND_ERROR
28,INF209KB1O58,ABSLBANETF,EQ,542863,ABSLBANETF,B,Q,NOT_FOUND_ERROR
29,INF209KB1B87,ABSLNN50ET,EQ,542230,ABSLNN50ET,B,Q,NOT_FOUND_ERROR
30,INF209KB1LL4,ABSLRIF6RG,MF,541092,ABSLRIF6RG,B,Q,NOT_FOUND_ERROR
31,INE012A01025,ACC,EQ,500410,ACC LTD,A,Q,NOT_FOUND_ERROR
32,INE793A01012,ACCELYA,EQ,532268,ACCELYA,A,Q,ACCELYA.NS
33,INE113X01015,ACCORD,SM,,,,,NOT_FOUND_ERROR
34,INE648Z01015,ACCURACY,EQ,,,,,NOT_FOUND_ERROR
35,INE731H01025,ACE,EQ,532762,ACTION CONST,A,Q,ACE.NS
36,INE482D01024,ACRYSIL,EQ,524091,ACRYCIL LTD.,B,Q,NOT_FOUND_ERROR
37,INE423A01024,ADANIENT,EQ,512599,ADANI ENTER,A,Q,ADANIENT.NS
38,INE364U01010,ADANIGREEN,EQ,541450,ADANIGREEN,A,Q,ADANIGREEN.NS
39,INE742F01042,ADANIPORTS,EQ,532921,ADANI PORTS,A,Q,NOT_FOUND_ERROR
40,INE814H01011,ADANIPOWER,EQ,533096,ADANI POWER,A,Q,NOT_FOUND_ERROR
41,INE931S01010,ADANITRANS,EQ,539254,ADANITRANS,A,Q,NOT_FOUND_ERROR
42,INE982B01019,ADFFOODS,EQ,519183,ADF FOODS LT,A,Q,NOT_FOUND_ERROR
43,INE452L01012,ADHUNIKIND,EQ,538365,ADHUNIKIND,B,Q,NOT_FOUND_ERROR
44,INE0CHO01012,ADL,BE,543231,ADL,T,Q,NOT_FOUND_ERROR
45,INE045A01017,ADORWELD,EQ,517041,ADORWELDING,B,Q,NOT_FOUND_ERROR
46,INE737B01033,ADROITINFO,BE,,,,,NOT_FOUND_ERROR
47,INE102I01027,ADSL,EQ,532875,ALLIED DIGIT,B,Q,NOT_FOUND_ERROR
48,INE199C01026,ADVANIHOTR,EQ,523269,ADVANI HOTEL,B,Q,ADVANIHOTR.NS
49,INE837H01020,ADVENZYMES,EQ,540025,ADVENZYMES,A,Q,ADVENZYMES.NS
50,INE208C01025,AEGISCHEM,EQ,500003,AEGIS LOGIS,A,Q,NOT_FOUND_ERROR
51,INE00WC01019,AFFLE,EQ,542752,AFFLE,A,Q,NOT_FOUND_ERROR
52,INE204E01012,AGARIND,BE,531921,AGAR IND COR,T,Q,NOT_FOUND_ERROR
53,INE676A01019,AGCNET,EQ,500463,AGCNET,B,Q,NOT_FOUND_ERROR
54,INE449G01018,AGRITECH,EQ,537292,AGRI TECH,B,Q,AGRITECH.NS
55,INE740V01019,AGROPHOS,EQ,,,,,NOT_FOUND_ERROR
56,INE00PV01013,AHLADA,EQ,,,,,NOT_FOUND_ERROR
57,INE926K01017,AHLEAST,EQ,533227,ASIAN HTL E,B,Q,NOT_FOUND_ERROR
58,INE758C01029,AHLUCONT,EQ,532811,AHLUWALIA CO,A,Q,NOT_FOUND_ERROR
59,INE915K01010,AHLWEST,EQ,533221,ASIAN HTL W,B,Q,AHLWEST.NS
60,INE212H01026,AIAENG,EQ,532683,AIAENGINEER,A,Q,NOT_FOUND_ERROR
61,INE645W01026,AIRAN,EQ,,,,,NOT_FOUND_ERROR
62,INE635Y01015,AISL,SM,,,,,NOT_FOUND_ERROR
63,INE031B01049,AJANTPHARM,EQ,532331,AJANTA PHARM,A,Q,AJANTPHARM.NS
64,INE298G01027,AJMERA,EQ,513349,AJMERA,B,Q,AJMERA.NS
65,INE820Y01013,AJOONI,SM,,,,,NOT_FOUND_ERROR
66,INE737W01013,AKASH,EQ,,,,,NOT_FOUND_ERROR
67,INE00Y801016,AKG,EQ,,,,,NOT_FOUND_ERROR
68,INE542B01011,AKSHARCHEM,EQ,524598,AKSHARCHEM I,B,Q,AKSHARCHEM.NS
69,INE523B01011,AKSHOPTFBR,EQ,532351,AKSH OPTIFIB,B,Q,AKSHOPTFBR.NS
70,INE133A01011,AKZOINDIA,EQ,500710,AKZOINDIA,A,Q,NOT_FOUND_ERROR
71,INE914E01040,ALANKIT,EQ,531082,ALANKIT,B,Q,NOT_FOUND_ERROR
72,INE155C01010,ALBERTDAVD,EQ,524075,ALBERT DAVID,B,Q,ALBERTDAVD.NS
73,INE426A01027,ALEMBICLTD,EQ,506235,ALEMBIC LTD.,A,Q,NOT_FOUND_ERROR
74,INE062D01024,ALICON,EQ,531147,ALICON,B,Q,ALICON.NS
75,INE773I01017,ALKALI,EQ,533029,ALKALI,B,Q,ALKALI.NS
76,INE540L01014,ALKEM,EQ,539523,ALKEM,A,Q,NOT_FOUND_ERROR
77,INE150B01021,ALKYLAMINE,EQ,506767,ALKYL AMINES,A,Q,ALKYLAMINE.NS
78,INE418H01029,ALLCARGO,EQ,532749,ALLCARGO,A,Q,ALLCARGO.NS
79,INE835G01018,ALLSEC,EQ,532633,ALLSEC TECH,B,Q,NOT_FOUND_ERROR
80,INE326B01027,ALMONDZ,EQ,531400,ALMONDZ GLO,B,Q,ALMONDZ.NS
81,INE270A01029,ALOKINDS,EQ,521070,ALOK INDS.,B,Q,NOT_FOUND_ERROR
82,INE385I01010,ALPA,EQ,532878,ALPA LAB,B,Q,ALPA.NS
83,INE137C01018,ALPHAGEO,EQ,526397,ALPHAGEO (I),B,Q,NOT_FOUND_ERROR
84,INE093B01015,ALPSINDUS,BE,530715,ALPS INDS.,T,Q,NOT_FOUND_ERROR
85,INE885A01032,AMARAJABAT,EQ,500008,AMAR RAJA BA,A,Q,AMARAJABAT.NS
86,INE371P01015,AMBER,EQ,540902,AMBER,A,Q,NOT_FOUND_ERROR
87,INE540G01014,AMBIKCO,EQ,531978,AMBIKA COTTO,B,Q,NOT_FOUND_ERROR
88,INE079A01024,AMBUJACEM,EQ,500425,AMBUJA CEME,A,Q,NOT_FOUND_ERROR
89,INE005I01014,AMDIND,BE,532828,AMD INDUS,T,Q,NOT_FOUND_ERROR
90,INE606A01024,AMJLAND,EQ,500343,AMJLAND,B,Q,NOT_FOUND_ERROR
91,INE098F01031,AMRUTANJAN,EQ,590006,AMRUTANJAN,B,Q,AMRUTANJAN.NS
92,INE242C01024,ANANTRAJ,EQ,515055,ANANTRAJ,B,Q,NOT_FOUND_ERROR
93,INE666E01012,ANDHRACEMT,EQ,532141,ANDHRA CEMEN,B,Q,NOT_FOUND_ERROR
94,INE435A01028,ANDHRAPAP,EQ,502330,ANDPAPER,B,Q,NOT_FOUND_ERROR
95,INE715B01013,ANDHRSUGAR,EQ,590062,ANDHRA SUGAR,B,Q,ANDHRSUGAR.NS
96,INE732I01013,ANGELBRKG,EQ,543235,ANGELBRKG,B,Q,NOT_FOUND_ERROR
97,INE087B01017,ANIKINDS,EQ,519383,ANIK INDS,B,Q,ANIKINDS.NS
98,INE106I01010,ANKITMETAL,EQ,532870,ANKIT METAL,B,Q,NOT_FOUND_ERROR
99,INE436A01026,ANSALAPI,EQ,500013,ANSAL INFRAS,B,Q,NOT_FOUND_ERROR
100,INE880B01015,ANSALHSG,EQ,507828,ANSALHSG,B,Q,NOT_FOUND_ERROR
101,INE294Z01018,ANUP,EQ,542460,ANUP,B,Q,NOT_FOUND_ERROR
102,INE930P01018,ANURAS,EQ,543275,ANURAS,B,Q,NOT_FOUND_ERROR
103,INE372A01015,APARINDS,EQ,532259,APAR INDUS.,A,Q,NOT_FOUND_ERROR
104,INE071F01012,APCL,EQ,518091,ANJANI PORTL,B,Q,NOT_FOUND_ERROR
105,INE116A01032,APCOTEXIND,EQ,523694,APCOTEX IND,A,Q,APCOTEXIND.NS
106,INE346W01013,APEX,EQ,540692,APEX,A,Q,NOT_FOUND_ERROR
107,INE702C01027,APLAPOLLO,EQ,533758,APL APOLLO,A,Q,APLAPOLLO.NS
108,INE901L01018,APLLTD,EQ,533573,ALEM PHARMA,A,Q,APLLTD.NS
109,INE713T01010,APOLLO,EQ,540879,APOLLO,B,Q,NOT_FOUND_ERROR
110,INE437A01024,APOLLOHOSP,EQ,508869,APOLLO HOSP.,A,Q,NOT_FOUND_ERROR
111,INE126J01016,APOLLOPIPE,EQ,531761,APOLLOPIPES,A,Q,NOT_FOUND_ERROR
112,INE438A01022,APOLLOTYRE,EQ,500877,APOLLO TYRES,A,Q,NOT_FOUND_ERROR
113,INE451F01024,APOLSINHOT,EQ,,,,,NOT_FOUND_ERROR
114,INE266F01018,APTECHT,EQ,532475,APTECH LTD,A,Q,APTECHT.NS
115,INE877I01016,ARCHIDPLY,BE,532994,ARCHIDPLY IN,T,Q,NOT_FOUND_ERROR
116,INE731A01020,ARCHIES,EQ,532212,ARCHIES LTD,B,Q,NOT_FOUND_ERROR
117,INE610C01014,ARENTERP,EQ,,,,,ARENTERP.NS
118,INE298I01015,ARIES,EQ,532935,ARIES AGRO,B,Q,ARIES.NS
119,INE413D01011,ARIHANT,EQ,,,,,NOT_FOUND_ERROR
120,INE643K01018,ARIHANTSUP,EQ,506194,ARIH SUPER,B,Q,ARIHANTSUP.NS
121,INE109C01017,ARMANFIN,EQ,531179,ARMAN FIN,A,Q,NOT_FOUND_ERROR
122,INE210C01013,AROGRANITE,EQ,513729,ARO GRANITE,B,Q,AROGRANITE.NS
123,INE570D01018,ARROWGREEN,BE,516064,ARROWGREEN,T,Q,NOT_FOUND_ERROR
124,INE968D01022,ARSHIYA,BE,506074,ARSHIYA,T,Q,NOT_FOUND_ERROR
125,INE267I01010,ARSSINFRA,EQ,533163,ARSS INFRA,B,Q,NOT_FOUND_ERROR
126,INE025R01013,ARTEMISMED,EQ,542919,ARTEMISMED,B,Q,ARTEMISMED.NS
127,INE006Z01016,ARVEE,EQ,,,,,NOT_FOUND_ERROR
128,INE034A01011,ARVIND,EQ,500101,ARVIND Ltd,A,Q,NOT_FOUND_ERROR
129,INE955V01021,ARVINDFASN,EQ,542484,ARVINDFASN,A,Q,ARVINDFASN.NS
130,INE034S01021,ARVSMART,EQ,539301,ARVSMART,B,Q,NOT_FOUND_ERROR
131,INE439A01020,ASAHIINDIA,EQ,515030,ASAHI IN.GLA,A,Q,NOT_FOUND_ERROR
132,INE228I01012,ASAHISONG,EQ,532853,ASAHI SONG,B,Q,ASAHISONG.NS
133,INE900C01027,ASAL,BE,520119,AUTOMOTIVE S,T,Q,ASAL.NS
134,INE073G01016,ASALCBR,EQ,507526,ASSO.ALCOHOL,B,Q,NOT_FOUND_ERROR
135,INE348A01023,ASHAPURMIN,EQ,527001,ASHAPURA LTD,B,Q,NOT_FOUND_ERROR
136,INE365D01021,ASHIANA,EQ,523716,ASHIANA HOU,B,Q,NOT_FOUND_ERROR
137,INE440A01010,ASHIMASYN,EQ,514286,ASHIMA LTD.,B,Q,NOT_FOUND_ERROR
138,INE442H01029,ASHOKA,EQ,533271,ASHOKA,A,Q,ASHOKA.NS
139,INE208A01029,ASHOKLEY,EQ,500477,ASHOK LEYL.,A,Q,NOT_FOUND_ERROR
140,INE363A01022,ASIANHOTNR,EQ,500023,ASIANHOTNR,B,Q,NOT_FOUND_ERROR
141,INE021A01026,ASIANPAINT,EQ,500820,ASIAN PAINTS,A,Q,NOT_FOUND_ERROR
142,INE022I01019,ASIANTILES,EQ,532888,ASIAN GRANIT,A,Q,ASIANTILES.NS
143,INE991I01015,ASPINWALL,EQ,,,,,NOT_FOUND_ERROR
144,INE563J01010,ASTEC,EQ,533138,ASTEC LIFE,A,Q,ASTEC.NS
145,INE914M01019,ASTERDM,EQ,540975,ASTERDM,A,Q,ASTERDM.NS
146,INE006I01046,ASTRAL,EQ,532830,ASTRAL POLY,A,Q,ASTRAL.NS
147,INE386C01029,ASTRAMICRO,EQ,532493,ASTRA MICRO,A,Q,ASTRAMICRO.NS
148,INE203A01020,ASTRAZEN,EQ,506820,ASTRAZEN.PH.,A,Q,NOT_FOUND_ERROR
149,INE646X01014,ASTRON,EQ,540824,ASTRON,B,Q,NOT_FOUND_ERROR
150,INE209A01019,ATFL,EQ,500215,AGRO TECH FO,A,Q,ATFL.NS
151,INE399L01023,ATGL,EQ,542066,ATGL,A,Q,NOT_FOUND_ERROR
152,INE285H01022,ATLANTA,EQ,532759,ATLANTA,B,Q,ATLANTA.NS
153,INE100A01010,ATUL,EQ,500027,ATUL LTD.,A,Q,NOT_FOUND_ERROR
154,INE951D01028,ATULAUTO,EQ,531795,ATUL AUTO,B,Q,ATULAUTO.NS
155,INE949L01017,AUBANK,EQ,540611,AUBANK,A,Q,AUBANK.NS
156,INE132H01018,AURIONPRO,EQ,532668,AURIONPRO SO,B,Q,NOT_FOUND_ERROR
157,INE406A01037,AUROPHARMA,EQ,524804,AUROB.PHARMA,A,Q,NOT_FOUND_ERROR
158,INE218C01016,AUSOMENT,EQ,509009,AUSOM ENT,B,Q,NOT_FOUND_ERROR
159,INE449A01011,AUTOAXLES,EQ,505010,AUTO AXLES,A,Q,NOT_FOUND_ERROR
160,INE718H01014,AUTOIND,EQ,532797,AUTOIND,B,Q,NOT_FOUND_ERROR
161,INE349W01017,AVADHSUGAR,EQ,540649,AVADHSUGAR,B,Q,NOT_FOUND_ERROR
162,INE871C01038,AVANTIFEED,EQ,512573,AVANTI FEEDS,A,Q,AVANTIFEED.NS
163,INE488D01021,AVTNPL,EQ,519105,AVT NATURAL,B,Q,AVTNPL.NS
164,INE01BK01022,AWHCL,EQ,543254,AWHCL,B,Q,NOT_FOUND_ERROR
165,INE238A01034,AXISBANK,EQ,532215,AXIS BANK,A,Q,AXISBANK.NS
166,INF846K01X63,AXISBNKETF,EQ,,,,,NOT_FOUND_ERROR
167,INE555B01013,AXISCADES,EQ,532395,AXISCADES,B,Q,NOT_FOUND_ERROR
168,INF846K01W80,AXISGOLD,EQ,533570,AXISGOLD,E,Q,NOT_FOUND_ERROR
169,INF846K01W98,AXISNIFTY,EQ,,,,,NOT_FOUND_ERROR
170,INF846K01Y96,AXISTECETF,EQ,,,,,NOT_FOUND_ERROR
171,INE193B01039,AYMSYNTEX,EQ,508933,AYMSYNTEX,B,Q,NOT_FOUND_ERROR
172,INE878I01022,BAFNAPH,BE,532989,BAFNA PHARMA,T,Q,BAFNAPH.NS
173,INE116D01028,BAGFILMS,EQ,532507,BAG FIL MED,B,Q,NOT_FOUND_ERROR
174,INE917I01010,BAJAJ-AUTO,EQ,532977,BAJAJ AUTO,A,Q,NOT_FOUND_ERROR
175,INE933K01021,BAJAJCON,EQ,533229,BAJAJCON,A,Q,NOT_FOUND_ERROR
176,INE193E01025,BAJAJELEC,EQ,500031,BAJAJ ELECT.,A,Q,BAJAJELEC.NS
177,INE918I01018,BAJAJFINSV,EQ,532978,BAJAJ FINSE,A,Q,NOT_FOUND_ERROR
178,INE306A01021,BAJAJHIND,EQ,500032,BAJAJHIND,A,Q,NOT_FOUND_ERROR
179,INE118A01012,BAJAJHLDNG,EQ,500490,BAJ HOLD INV,A,Q,NOT_FOUND_ERROR
180,INE296A01024,BAJFINANCE,EQ,500034,BAJFINANCE,A,Q,BAJFINANCE.NS
181,INE794B01026,BALAJITELE,EQ,532382,BALAJI TELE.,A,Q,NOT_FOUND_ERROR
182,INE050E01027,BALAMINES,EQ,530999,BALAJI AMINE,A,Q,BALAMINES.NS
183,INE618N01014,BALAXI,EQ,,,,,NOT_FOUND_ERROR
184,INE875R01011,BALKRISHNA,BE,,,,,NOT_FOUND_ERROR
185,INE787D01026,BALKRISIND,EQ,502355,BALKRISH IND,A,Q,NOT_FOUND_ERROR
186,INE294A01037,BALLARPUR,BZ,500102,BALARPUR IND,Z,Q,NOT_FOUND_ERROR
187,INE164A01016,BALMLAWRIE,EQ,523319,BALMER LAWRI,A,Q,BALMLAWRIE.NS
188,INE083D01012,BALPHARMA,EQ,524824,BAL PHARMA,B,Q,NOT_FOUND_ERROR
189,INE119A01028,BALRAMCHIN,EQ,500038,BALRAM.CHINI,A,Q,NOT_FOUND_ERROR
190,INE655B01011,BANARBEADS,EQ,526849,BANARAS BEAD,B,Q,NOT_FOUND_ERROR
191,INE459A01010,BANARISUG,EQ,500041,BANNARI AMAN,A,Q,BANARISUG.NS
192,INE213C01025,BANCOINDIA,EQ,500039,BANCO PROD.,B,Q,NOT_FOUND_ERROR
193,INE545U01014,BANDHANBNK,EQ,541153,BANDHANBNK,A,Q,BANDHANBNK.NS
194,INE863I01016,BANG,EQ,532946,BANG,B,Q,NOT_FOUND_ERROR
195,INE862Y01015,BANKA,EQ,,,,,NOT_FOUND_ERROR
196,INE028A01039,BANKBARODA,EQ,532134,BANKBARODA,A,Q,NOT_FOUND_ERROR
197,INF204KB15I9,BANKBEES,EQ,590106,BANKBEES,B,Q,NOT_FOUND_ERROR
198,INE084A01016,BANKINDIA,EQ,532149,BNK OF INDIA,A,Q,NOT_FOUND_ERROR
199,INE629D01012,BANSWRAS,EQ,503722,BANSW.SYNTEX,B,Q,BANSWRAS.NS
200,INE855F01034,BARTRONICS,BZ,532694,BARTRONICSIN,Z,Q,BARTRONICS.NS
201,INE373A01013,BASF,EQ,500042,BASF INDIA,A,Q,BASF.NS
202,INE186H01022,BASML,EQ,532674,BANNARI AMMA,B,Q,BASML.NS
203,INE176A01028,BATAINDIA,EQ,500043,BATA INDIA,A,Q,NOT_FOUND_ERROR
204,INE462A01022,BAYERCROP,EQ,506285,BAYER CROP,A,Q,NOT_FOUND_ERROR
205,INE464A01028,BBL,EQ,503960,BHARAT BIJLE,A,Q,NOT_FOUND_ERROR
206,INE050A01025,BBTC,EQ,501425,BOM.BURMAH,A,Q,NOT_FOUND_ERROR
207,INE01EE01011,BBTCL,SM,,,,,NOT_FOUND_ERROR
208,INE425B01027,BCG,EQ,532368,BCG,B,Q,NOT_FOUND_ERROR
209,INE412G01016,BCLIND,EQ,524332,BCLIL,B,Q,NOT_FOUND_ERROR
210,INE977Y01011,BCONCEPTS,SM,,,,,NOT_FOUND_ERROR
211,INE905P01028,BCP,EQ,537766,BCP LTD,B,Q,BCP.NS
212,INE171Z01018,BDL,EQ,541143,BDL,A,Q,BDL.NS
213,INE520H01022,BEARDSELL,EQ,539447,BEARDSELL,B,Q,BEARDSELL.NS
214,INE495P01012,BECTORFOOD,EQ,543253,BECTORFOOD,B,Q,NOT_FOUND_ERROR
215,INE844K01012,BEDMUTHA,EQ,533270,BEDMUTHA IN,B,Q,BEDMUTHA.NS
216,INE263A01024,BEL,EQ,500049,BHARAT ELECT,A,Q,NOT_FOUND_ERROR
217,INE258A01016,BEML,EQ,500048,BEML LTD,A,Q,NOT_FOUND_ERROR
218,INE922A01025,BEPL,EQ,500052,BHANSALI ENG,A,Q,NOT_FOUND_ERROR
219,INE463A01038,BERGEPAINT,EQ,509480,BERGE PAINT,A,Q,NOT_FOUND_ERROR
220,INE052T01013,BESTAGRO,EQ,539660,BESTAGRO,B,Q,NOT_FOUND_ERROR
221,INE351Y01019,BETA,SM,,,,,NOT_FOUND_ERROR
222,INE878K01010,BFINVEST,EQ,533303,BF INVEST,A,Q,NOT_FOUND_ERROR
223,INE243D01012,BFUTILITIE,EQ,532430,BF UTILI,A,Q,NOT_FOUND_ERROR
224,INE661I01014,BGRENERGY,EQ,532930,BGR ENERGY,B,Q,NOT_FOUND_ERROR
225,INE354C01027,BHAGERIA,EQ,530803,BHAGIL,B,Q,BHAGERIA.NS
226,INE458B01036,BHAGYANGR,BE,512296,BHAGYA INL,T,Q,NOT_FOUND_ERROR
227,INE363W01018,BHAGYAPROP,EQ,540621,BHAGYAPROP,B,Q,NOT_FOUND_ERROR
228,INE474E01029,BHANDARI,BE,512608,BHANDARI HOS,T,Q,BHANDARI.NS
229,INE465A01025,BHARATFORG,EQ,500493,BHARAT FORGE,A,Q,NOT_FOUND_ERROR
230,INE561C01019,BHARATGEAR,EQ,505688,BHARAT GEARS,B,Q,BHARATGEAR.NS
231,INE838B01013,BHARATRAS,EQ,590021,BHARAT RA(PS,B,Q,NOT_FOUND_ERROR
232,INE316L01019,BHARATWIRE,BE,539799,BHARATWIRE,T,Q,BHARATWIRE.NS
233,INE397D01024,BHARTIARTL,EQ,532454,BHARTI ARTL,A,Q,BHARTIARTL.NS
234,INE257A01026,BHEL,EQ,500103,BHEL,A,Q,NOT_FOUND_ERROR
235,INE412U01017,BIGBLOC,EQ,540061,BIGBLOC,B,Q,BIGBLOC.NS
236,INE828A01016,BIL,EQ,526666,BHARTIYA INT,B,Q,NOT_FOUND_ERROR
237,INE143A01010,BINDALAGRO,EQ,539290,BINDALAGRO,B,Q,NOT_FOUND_ERROR
238,INE376G01013,BIOCON,EQ,532523,BIOCON LTD.,A,Q,NOT_FOUND_ERROR
239,INE829A01014,BIOFILCHEM,BE,524396,BIOFIL CHEM,T,Q,BIOFILCHEM.NS
240,INE0FDU25010,BIRET,RR,543261,BIRET,IF,Q,NOT_FOUND_ERROR
241,INE800A01015,BIRLACABLE,EQ,500060,BIRLACABLE,B,Q,NOT_FOUND_ERROR
242,INE340A01012,BIRLACORPN,EQ,500335,BIRLA CORPN.,A,Q,NOT_FOUND_ERROR
243,INE865C01022,BIRLAMONEY,EQ,532974,ABML,B,Q,NOT_FOUND_ERROR
244,INE0AEJ01013,BIRLATYRE,EQ,542932,BIRLATYRES,B,Q,BIRLATYRE.NS
245,INE831Q01016,BKMINDST,EQ,539043,BKMINDST,B,Q,NOT_FOUND_ERROR
246,INE791A01024,BLBLIMITED,BE,532290,BLB LTD.,T,Q,BLBLIMITED.NS
247,INE416D01022,BLISSGVS,EQ,506197,BLISSGVS PH,A,Q,NOT_FOUND_ERROR
248,INE350H01032,BLKASHYAP,BE,532719,BL KASHYAP,T,Q,NOT_FOUND_ERROR
249,INE153T01027,BLS,EQ,540073,BLS,B,Q,BLS.NS
250,INE657B01025,BLUECHIP,BE,,,,,BLUECHIP.NS
251,INE233B01017,BLUEDART,EQ,526612,BLUE DART EX,A,Q,BLUEDART.NS
252,INE472A01039,BLUESTARCO,EQ,500067,BLUE STAR,A,Q,NOT_FOUND_ERROR
253,INE338D01028,BODALCHEM,EQ,524370,BODAL CHEM,A,Q,BODALCHEM.NS
254,INE802W01015,BOHRA,SM,,,,,NOT_FOUND_ERROR
255,INE032A01023,BOMDYEING,EQ,500020,BOM DYEING,A,Q,NOT_FOUND_ERROR
256,INE02PY01013,BOROLTD,EQ,543212,BOROLTD,B,Q,NOT_FOUND_ERROR
257,INE666D01022,BORORENEW,EQ,502219,BORORENEW,A,Q,NOT_FOUND_ERROR
258,INE323A01026,BOSCHLTD,EQ,500530,BOSCH LTD,A,Q,NOT_FOUND_ERROR
259,INE029A01011,BPCL,EQ,500547,BHARAT PET.,A,Q,NOT_FOUND_ERROR
260,INE110A01019,BPL,EQ,500074,BPL LTD.,B,Q,BPL.NS
261,INE589G01011,BRFL,EQ,532678,BOMBAY RAYON,B,Q,BRFL.NS
262,INE791I01019,BRIGADE,EQ,532929,BRIGADE,A,Q,NOT_FOUND_ERROR
263,INE684Z01010,BRIGHT,SM,,,,,NOT_FOUND_ERROR
264,INE216A01030,BRITANNIA,EQ,500825,BRITANIA IND,A,Q,NOT_FOUND_ERROR
265,INE216A07052,BRITANNIA,N2,936908,BILNCD,F,D,NOT_FOUND_ERROR
266,INE727S01012,BRNL,EQ,540700,BRNL,B,Q,NOT_FOUND_ERROR
267,INE650L01011,BROOKS,EQ,533543,BROOKS LABS,B,Q,NOT_FOUND_ERROR
268,INE118H01025,BSE,EQ,,,,,NOT_FOUND_ERROR
269,INE395A01016,BSELINFRA,EQ,532123,BSE INFRA,B,Q,BSELINFRA.NS
270,INE032Z01012,BSHSL,BE,,,,,NOT_FOUND_ERROR
271,INE594B01012,BSL,EQ,514045,BSL LTD.,B,Q,NOT_FOUND_ERROR
272,INF209K01HT2,BSLGOLDETF,EQ,533408,BSLGOLDETF,E,Q,NOT_FOUND_ERROR
273,INF209K01IR4,BSLNIFTY,EQ,,,,,NOT_FOUND_ERROR
274,INE836A01035,BSOFT,EQ,532400,BSOFT,A,Q,NOT_FOUND_ERROR
275,INE0EEJ01015,BTML,SM,,,,,NOT_FOUND_ERROR
276,INE07T201019,BURGERKING,EQ,543248,BURGERKING,B,Q,NOT_FOUND_ERROR
277,INE817H01014,BURNPUR,BE,532931,BURNPUR,T,Q,NOT_FOUND_ERROR
278,INE295F01017,BUTTERFLY,EQ,517421,BFLYGANDHI,B,Q,BUTTERFLY.NS
279,INE139I01011,BVCL,BE,532916,BARAK VALL,T,Q,NOT_FOUND_ERROR
280,INE319B01014,BYKE,EQ,531373,BYKE HOSP,B,Q,NOT_FOUND_ERROR
281,INE010B01027,CADILAHC,EQ,532321,CADILA HEALT,A,Q,NOT_FOUND_ERROR
282,INE090Y01013,CADSYS,SM,,,,,NOT_FOUND_ERROR
283,INE526B01014,CALSOFT,EQ,532386,CALIFORN.SOF,B,Q,CALSOFT.NS
284,INE052I01032,CAMLINFINE,EQ,532834,CAMLINFINE,A,Q,CAMLINFINE.NS
285,INE596I01012,CAMS,EQ,543232,CAMS,B,Q,NOT_FOUND_ERROR
286,INE476A01014,CANBK,EQ,532483,CANARA BANK,A,Q,CANBK.NS
287,INE874H01015,CANDC,BZ,532813,C & C CONSTR,Z,Q,NOT_FOUND_ERROR
